partyid,partyname,partyloc,partyincome,partycode
1,vinayaka,hyd,80000,20
1,vinayaka,hyd,80000,20
1,vinayaka,hyd,0,20
1,vinayaka,hyd,80000,20
1,vinayaka,hyd,80000,20
1,vinayaka,hyd,80000,20
1,vinayaka,hyd,0,20
1,vinayaka,hyd,80000,20
1,vinayaka,hyd,80000,20
1,vinayaka,hyd,80000,20
1,vinayaka,hyd,0,20
1,vinayaka,hyd,80000,20
1,vinayaka,hyd,80000,20
1,vinayaka,hyd,80000,20
1,vinayaka,hyd,0,20
1,vinayaka,hyd,80000,20
2,vivek,hyd,25000,20
102,naresh,hyd,35000,20
103,harshini,hyd,35000,30
104,srikanth,hyd,35000,20
105,chandu,hyd,25000,10
109,santhosh,hyd,25000,20
117,swathi,hyd,35000,20
118,krishna,hyd,45000,10
119,krishna,hyd,35000,20
121,bharath,hyd,35000,20
122,kalyan,hyd,45000,10
123,ravi,hyd,45000,20
124,veeru,hyd,45000,10
125,sekhar,hyd,35000,10
127,Guru,hyd,35000,10
129,sudha,hyd,25000,10
130,preethu,hyd,23400,20
131,udayashree,hyd,3500,20
132,sai,hyd,35000,30
138,riyaz,hyd,35000,10
139,lavanya,hyd,45000,20
141,murthy,hyd,35000,20
143,rakhena,hyd,25000,20
144,Bharath,hyd,35000,20
145,padma,hyd,45000,10
146,sowjanya,hyd,35000,20
148,ravi,hyd,34000,20
149,Sridhar,hyd,40000,10
150,ram,hyd,25000,20
151,vijay,hyd,35900,10
152,Jagadeesh,hyd,40000,20
154,Lalitha,hyd,40000,10
156,anil,hyd,35000,20
157,viswa,hyd,25000,10
159,Vijay,hyd,34500,30
160,Pradeep,hyd,35000,20
161,JayaSree,hyd,45000,10
166,Ram,hyd,25000,20
170,Bheem,hyd,45000,20
171,ravi,hyd,35000,20
172,Avinash,hyd,45000,20
183,siva,hyd,34000,20
185,sandeep,hyd,35000,20
207,sandeep,hyd,35000,20
212,krishna,hyd,35000,20
213,zack,hyd,45000,20
215,Supriya,hyd,35000,10
216,Harika,hyd,45000,20
217,Harsha,hyd,35000,10
218,Madhu,hyd,45000,20
