partyid,partyname,partyloc,partyincome,partycode
21,vinay,mum,40000,30
33,madhu,mum,30000,10
21,vinay,mum,40000,30
33,madhu,mum,30000,10
21,vinay,mum,0,30
33,madhu,mum,30000,10
21,vinay,mum,40000,30
33,madhu,mum,30000,10
21,vinay,mum,40000,30
33,madhu,mum,30000,10
21,vinay,mum,40000,30
33,madhu,mum,30000,10
21,vinay,mum,0,30
33,madhu,mum,30000,10
21,vinay,mum,40000,30
33,madhu,mum,30000,10
21,vinay,mum,40000,30
33,madhu,mum,30000,10
21,vinay,mum,40000,30
33,madhu,mum,30000,10
21,vinay,mum,0,30
33,madhu,mum,30000,10
21,vinay,mum,40000,30
33,madhu,mum,30000,10
21,vinay,mum,40000,30
33,madhu,mum,30000,10
21,vinay,mum,40000,30
33,madhu,mum,30000,10
21,vinay,mum,0,30
33,madhu,mum,30000,10
21,vinay,mum,40000,30
33,madhu,mum,30000,10
251,Archana,mum,45000,10
254,sudheer,mum,45000,20
